PurchaseOrderID,OrderDate,ShipDate,VendorID,VendorName,ProductID,ProductName,OrderQty,UnitPrice,TotalAmount,ProductCategory,ProductSubcategory
1,2011-04-16,2011-04-25,1580,"Litware, Inc.",1,Adjustable Race,4,50.26,201.04,Uncategorized,Not Specified
2,2011-04-16,2011-04-25,1496,Advanced Bicycles,359,Thin-Jam Hex Nut 9,3,45.12,135.36,Uncategorized,Not Specified
2,2011-04-16,2011-04-25,1496,Advanced Bicycles,360,Thin-Jam Hex Nut 10,3,45.58,136.74,Uncategorized,Not Specified
3,2011-04-16,2011-04-25,1494,Allenson Cycles,530,Seat Post,550,16.09,8847.3,Uncategorized,Not Specified
4,2011-04-16,2011-04-25,1650,American Bicycles and Wheels,4,Headset Ball Bearings,3,57.03,171.08,Uncategorized,Not Specified
5,2011-04-30,2011-05-09,1654,American Bikes,512,HL Road Rim,550,37.09,20397.3,Uncategorized,Not Specified
6,2011-04-30,2011-05-09,1664,Anderson's Custom Bikes,513,Touring Rim,550,26.6,14628.08,Uncategorized,Not Specified
7,2011-04-30,2011-05-09,1678,"Proseware, Inc.",317,LL Crankarm,550,27.06,14882.18,Uncategorized,Not Specified
7,2011-04-30,2011-05-09,1678,"Proseware, Inc.",318,ML Crankarm,550,33.58,18468.45,Uncategorized,Not Specified
7,2011-04-30,2011-05-09,1678,"Proseware, Inc.",319,HL Crankarm,550,46.06,25334.93,Uncategorized,Not Specified
8,2011-04-30,2011-05-09,1616,Aurora Bike Center,403,External Lock Washer 3,3,47.47,142.41,Uncategorized,Not Specified
8,2011-04-30,2011-05-09,1616,Aurora Bike Center,404,External Lock Washer 4,3,45.37,136.11,Uncategorized,Not Specified
8,2011-04-30,2011-05-09,1616,Aurora Bike Center,405,External Lock Washer 9,3,49.64,148.93,Uncategorized,Not Specified
8,2011-04-30,2011-05-09,1616,Aurora Bike Center,406,External Lock Washer 5,3,45.37,136.11,Uncategorized,Not Specified
8,2011-04-30,2011-05-09,1616,Aurora Bike Center,407,External Lock Washer 7,3,43.27,129.81,Uncategorized,Not Specified
9,2011-12-14,2011-12-23,1492,Australia Bike Retailer,422,Thin-Jam Lock Nut 9,3,47.52,142.57,Uncategorized,Not Specified
9,2011-12-14,2011-12-23,1492,Australia Bike Retailer,423,Thin-Jam Lock Nut 10,3,45.42,136.27,Uncategorized,Not Specified
9,2011-12-14,2011-12-23,1492,Australia Bike Retailer,424,Thin-Jam Lock Nut 1,3,49.7,149.09,Uncategorized,Not Specified
9,2011-12-14,2011-12-23,1492,Australia Bike Retailer,425,Thin-Jam Lock Nut 2,3,45.42,136.27,Uncategorized,Not Specified
9,2011-12-14,2011-12-23,1492,Australia Bike Retailer,426,Thin-Jam Lock Nut 15,3,43.32,129.97,Uncategorized,Not Specified
10,2011-12-14,2011-12-23,1602,Beaumont Bikes,320,Chainring Bolts,3,47.47,142.41,Uncategorized,Not Specified
10,2011-12-14,2011-12-23,1602,Beaumont Bikes,321,Chainring Nut,3,42.8,128.39,Uncategorized,Not Specified
10,2011-12-14,2011-12-23,1602,Beaumont Bikes,322,Chainring,60,25.42,1525.23,Uncategorized,Not Specified
11,2011-12-14,2011-12-23,1540,Bergeron Off-Roads,438,Lock Nut 5,3,41.22,123.67,Uncategorized,Not Specified
11,2011-12-14,2011-12-23,1540,Bergeron Off-Roads,439,Lock Nut 6,3,45.5,136.49,Uncategorized,Not Specified
11,2011-12-14,2011-12-23,1540,Bergeron Off-Roads,440,Lock Nut 16,3,41.22,123.67,Uncategorized,Not Specified
11,2011-12-14,2011-12-23,1540,Bergeron Off-Roads,441,Lock Nut 17,3,39.12,117.37,Uncategorized,Not Specified
12,2011-12-14,2011-12-23,1628,Bicycle Specialists,941,Touring Pedal,550,62.99,34644.23,Components,Pedals
13,2011-12-14,2011-12-23,1604,Bike Satellite Inc.,320,Chainring Bolts,3,45.37,136.11,Uncategorized,Not Specified
13,2011-12-14,2011-12-23,1604,Bike Satellite Inc.,321,Chainring Nut,3,40.49,121.46,Uncategorized,Not Specified
13,2011-12-14,2011-12-23,1604,Bike Satellite Inc.,322,Chainring,60,26.37,1581.93,Uncategorized,Not Specified
14,2011-12-14,2011-12-23,1690,Bloomington Multisport,504,Cup-Shaped Race,3,48.76,146.29,Uncategorized,Not Specified
15,2011-12-14,2011-12-23,1566,Burnett Road Warriors,497,Pinch Bolt,3,34.19,102.56,Uncategorized,Not Specified
16,2011-12-14,2011-12-23,1698,Business Equipment Center,323,Crown Race,3,50.26,150.79,Uncategorized,Not Specified
17,2011-12-15,2011-12-24,1560,Capital Road Cycles,523,LL Spindle/Axle,550,10.73,5902.05,Uncategorized,Not Specified
17,2011-12-15,2011-12-24,1560,Capital Road Cycles,524,HL Spindle/Axle,550,14.12,7767.38,Uncategorized,Not Specified
18,2011-12-15,2011-12-24,1692,Carlson Specialties,492,Paint - Black,60,50.26,3015.81,Uncategorized,Not Specified
18,2011-12-15,2011-12-24,1692,Carlson Specialties,493,Paint - Red,60,57.15,3429.09,Uncategorized,Not Specified
18,2011-12-15,2011-12-24,1692,Carlson Specialties,494,Paint - Silver,60,53.2,3192.21,Uncategorized,Not Specified
18,2011-12-15,2011-12-24,1692,Carlson Specialties,495,Paint - Blue,60,63.69,3821.58,Uncategorized,Not Specified
18,2011-12-15,2011-12-24,1692,Carlson Specialties,496,Paint - Yellow,60,48.91,2934.54,Uncategorized,Not Specified
19,2011-12-15,2011-12-24,1696,Chicago City Saddles,908,LL Mountain Seat/Saddle,550,21.09,11601.98,Components,Saddles
